periodo;Año;Municipio;Tipo;Valor;;;;;;;;;
1/1/2020;2020;Berazategui;Total de hechos de robos;2143;;;;;;;;;
1/1/2021;2021;Berazategui;Total de hechos de hurtos;1306;;;;;;;;;
1/1/2021;2021;Berazategui;Total de hechos de robos;2461;;;;;;;;;
1/1/2014;2014;Berisso;Total de hechos de hurtos;273;;;;;;;;;
1/1/2014;2014;Berisso;Total de hechos de robos;251;;;;;;;;;
1/1/2015;2015;Berisso;Total de hechos de hurtos;166;;;;;;;;;
1/1/2015;2015;Berisso;Total de hechos de robos;217;;;;;;;;;
1/1/2016;2016;Berisso;Total de hechos de hurtos;188;;;;;;;;;
1/1/2016;2016;Berisso;Total de hechos de robos;231;;;;;;;;;
1/1/2017;2017;Berisso;Total de hechos de hurtos;298;;;;;;;;;
1/1/2017;2017;Berisso;Total de hechos de robos;500;;;;;;;;;
1/1/2018;2018;Berisso;Total de hechos de hurtos;373;;;;;;;;;
1/1/2018;2018;Berisso;Total de hechos de robos;508;;;;;;;;;
1/1/2019;2019;Berisso;Total de hechos de hurtos;493;;;;;;;;;
1/1/2019;2019;Berisso;Total de hechos de robos;606;;;;;;;;;
1/1/2020;2020;Berisso;Total de hechos de hurtos;300;;;;;;;;;
1/1/2020;2020;Berisso;Total de hechos de robos;385;;;;;;;;;
1/1/2021;2021;Berisso;Total de hechos de hurtos;230;;;;;;;;;
1/1/2021;2021;Berisso;Total de hechos de robos;274;;;;;;;;;
1/1/2014;2014;Bolívar;Total de hechos de hurtos;62;;;;;;;;;
1/1/2014;2014;Bolívar;Total de hechos de robos;51;;;;;;;;;
1/1/2015;2015;Bolívar;Total de hechos de hurtos;50;;;;;;;;;
1/1/2015;2015;Bolívar;Total de hechos de robos;50;;;;;;;;;
1/1/2016;2016;Bolívar;Total de hechos de hurtos;63;;;;;;;;;
1/1/2016;2016;Bolívar;Total de hechos de robos;48;;;;;;;;;
1/1/2017;2017;Bolívar;Total de hechos de hurtos;60;;;;;;;;;
1/1/2017;2017;Bolívar;Total de hechos de robos;30;;;;;;;;;
1/1/2018;2018;Bolívar;Total de hechos de hurtos;91;;;;;;;;;
1/1/2018;2018;Bolívar;Total de hechos de robos;56;;;;;;;;;
1/1/2019;2019;Bolívar;Total de hechos de hurtos;182;;;;;;;;;
1/1/2019;2019;Bolívar;Total de hechos de robos;98;;;;;;;;;
1/1/2020;2020;Bolívar;Total de hechos de hurtos;177;;;;;;;;;
1/1/2020;2020;Bolívar;Total de hechos de robos;100;;;;;;;;;
1/1/2021;2021;Bolívar;Total de hechos de hurtos;186;;;;;;;;;
1/1/2021;2021;Bolívar;Total de hechos de robos;88;;;;;;;;;
1/1/2014;2014;Bragado;Total de hechos de hurtos;158;;;;;;;;;
1/1/2014;2014;Bragado;Total de hechos de robos;53;;;;;;;;;
1/1/2015;2015;Bragado;Total de hechos de hurtos;119;;;;;;;;;
1/1/2015;2015;Bragado;Total de hechos de robos;72;;;;;;;;;
1/1/2016;2016;Bragado;Total de hechos de hurtos;91;;;;;;;;;
1/1/2016;2016;Bragado;Total de hechos de robos;62;;;;;;;;;
1/1/2017;2017;Bragado;Total de hechos de hurtos;88;;;;;;;;;
1/1/2017;2017;Bragado;Total de hechos de robos;50;;;;;;;;;
1/1/2018;2018;Bragado;Total de hechos de hurtos;131;;;;;;;;;
1/1/2018;2018;Bragado;Total de hechos de robos;61;;;;;;;;;
1/1/2019;2019;Bragado;Total de hechos de hurtos;237;;;;;;;;;
1/1/2019;2019;Bragado;Total de hechos de robos;94;;;;;;;;;
1/1/2020;2020;Bragado;Total de hechos de hurtos;226;;;;;;;;;
1/1/2020;2020;Bragado;Total de hechos de robos;75;;;;;;;;;
1/1/2021;2021;Bragado;Total de hechos de hurtos;157;;;;;;;;;
1/1/2021;2021;Bragado;Total de hechos de robos;54;;;;;;;;;
1/1/2014;2014;Brandsen;Total de hechos de hurtos;33;;;;;;;;;
1/1/2014;2014;Brandsen;Total de hechos de robos;69;;;;;;;;;
1/1/2015;2015;Brandsen;Total de hechos de hurtos;47;;;;;;;;;
1/1/2015;2015;Brandsen;Total de hechos de robos;49;;;;;;;;;
1/1/2016;2016;Brandsen;Total de hechos de hurtos;102;;;;;;;;;
1/1/2016;2016;Brandsen;Total de hechos de robos;90;;;;;;;;;
1/1/2017;2017;Brandsen;Total de hechos de hurtos;90;;;;;;;;;
1/1/2017;2017;Brandsen;Total de hechos de robos;101;;;;;;;;;
1/1/2018;2018;Brandsen;Total de hechos de hurtos;76;;;;;;;;;
1/1/2018;2018;Brandsen;Total de hechos de robos;110;;;;;;;;;
1/1/2019;2019;Brandsen;Total de hechos de hurtos;90;;;;;;;;;
1/1/2019;2019;Brandsen;Total de hechos de robos;98;;;;;;;;;
1/1/2020;2020;Brandsen;Total de hechos de hurtos;56;;;;;;;;;
1/1/2020;2020;Brandsen;Total de hechos de robos;67;;;;;;;;;
1/1/2021;2021;Brandsen;Total de hechos de hurtos;54;;;;;;;;;
1/1/2021;2021;Brandsen;Total de hechos de robos;91;;;;;;;;;
1/1/2014;2014;Cañuelas;Total de hechos de hurtos;180;;;;;;;;;
1/1/2014;2014;Cañuelas;Total de hechos de robos;441;;;;;;;;;
1/1/2015;2015;Cañuelas;Total de hechos de hurtos;173;;;;;;;;;
1/1/2015;2015;Cañuelas;Total de hechos de robos;257;;;;;;;;;
1/1/2016;2016;Cañuelas;Total de hechos de hurtos;108;;;;;;;;;
1/1/2016;2016;Cañuelas;Total de hechos de robos;251;;;;;;;;;
1/1/2017;2017;Cañuelas;Total de hechos de hurtos;83;;;;;;;;;
1/1/2017;2017;Cañuelas;Total de hechos de robos;130;;;;;;;;;
1/1/2018;2018;Cañuelas;Total de hechos de hurtos;163;;;;;;;;;
1/1/2018;2018;Cañuelas;Total de hechos de robos;365;;;;;;;;;
1/1/2019;2019;Cañuelas;Total de hechos de hurtos;271;;;;;;;;;
1/1/2019;2019;Cañuelas;Total de hechos de robos;597;;;;;;;;;
1/1/2020;2020;Cañuelas;Total de hechos de hurtos;262;;;;;;;;;
1/1/2020;2020;Cañuelas;Total de hechos de robos;432;;;;;;;;;
1/1/2021;2021;Cañuelas;Total de hechos de hurtos;268;;;;;;;;;
1/1/2021;2021;Cañuelas;Total de hechos de robos;431;;;;;;;;;
1/1/2014;2014;Campana;Total de hechos de hurtos;465;;;;;;;;;
1/1/2014;2014;Campana;Total de hechos de robos;639;;;;;;;;;
1/1/2015;2015;Campana;Total de hechos de hurtos;440;;;;;;;;;
1/1/2015;2015;Campana;Total de hechos de robos;715;;;;;;;;;
1/1/2016;2016;Campana;Total de hechos de hurtos;496;;;;;;;;;
1/1/2016;2016;Campana;Total de hechos de robos;756;;;;;;;;;
1/1/2017;2017;Campana;Total de hechos de hurtos;448;;;;;;;;;
1/1/2017;2017;Campana;Total de hechos de robos;706;;;;;;;;;
1/1/2018;2018;Campana;Total de hechos de hurtos;437;;;;;;;;;
1/1/2018;2018;Campana;Total de hechos de robos;577;;;;;;;;;
1/1/2019;2019;Campana;Total de hechos de hurtos;594;;;;;;;;;
1/1/2019;2019;Campana;Total de hechos de robos;639;;;;;;;;;
1/1/2020;2020;Campana;Total de hechos de hurtos;368;;;;;;;;;
1/1/2020;2020;Campana;Total de hechos de robos;557;;;;;;;;;
1/1/2021;2021;Campana;Total de hechos de hurtos;600;;;;;;;;;
1/1/2021;2021;Campana;Total de hechos de robos;860;;;;;;;;;
1/1/2014;2014;Capitán Sarmiento;Total de hechos de hurtos;103;;;;;;;;;
1/1/2014;2014;Capitán Sarmiento;Total de hechos de robos;86;;;;;;;;;
1/1/2015;2015;Capitán Sarmiento;Total de hechos de hurtos;103;;;;;;;;;
1/1/2015;2015;Capitán Sarmiento;Total de hechos de robos;46;;;;;;;;;
1/1/2016;2016;Capitán Sarmiento;Total de hechos de hurtos;54;;;;;;;;;
1/1/2016;2016;Capitán Sarmiento;Total de hechos de robos;19;;;;;;;;;
1/1/2017;2017;Capitán Sarmiento;Total de hechos de hurtos;52;;;;;;;;;
1/1/2017;2017;Capitán Sarmiento;Total de hechos de robos;21;;;;;;;;;
1/1/2018;2018;Capitán Sarmiento;Total de hechos de hurtos;25;;;;;;;;;
1/1/2018;2018;Capitán Sarmiento;Total de hechos de robos;7;;;;;;;;;
1/1/2019;2019;Capitán Sarmiento;Total de hechos de hurtos;49;;;;;;;;;
1/1/2019;2019;Capitán Sarmiento;Total de hechos de robos;26;;;;;;;;;
1/1/2020;2020;Capitán Sarmiento;Total de hechos de hurtos;50;;;;;;;;;
1/1/2020;2020;Capitán Sarmiento;Total de hechos de robos;17;;;;;;;;;
1/1/2021;2021;Capitán Sarmiento;Total de hechos de hurtos;47;;;;;;;;;
1/1/2021;2021;Capitán Sarmiento;Total de hechos de robos;9;;;;;;;;;
1/1/2014;2014;Carlos Casares;Total de hechos de hurtos;90;;;;;;;;;
1/1/2014;2014;Carlos Casares;Total de hechos de robos;52;;;;;;;;;
1/1/2015;2015;Carlos Casares;Total de hechos de hurtos;80;;;;;;;;;
1/1/2015;2015;Carlos Casares;Total de hechos de robos;43;;;;;;;;;
1/1/2016;2016;Carlos Casares;Total de hechos de hurtos;78;;;;;;;;;
1/1/2016;2016;Carlos Casares;Total de hechos de robos;32;;;;;;;;;
1/1/2017;2017;Carlos Casares;Total de hechos de hurtos;48;;;;;;;;;
1/1/2017;2017;Carlos Casares;Total de hechos de robos;33;;;;;;;;;
1/1/2018;2018;Carlos Casares;Total de hechos de hurtos;101;;;;;;;;;
1/1/2018;2018;Carlos Casares;Total de hechos de robos;29;;;;;;;;;
1/1/2019;2019;Carlos Casares;Total de hechos de hurtos;58;;;;;;;;;
1/1/2019;2019;Carlos Casares;Total de hechos de robos;22;;;;;;;;;
1/1/2020;2020;Carlos Casares;Total de hechos de hurtos;51;;;;;;;;;
1/1/2020;2020;Carlos Casares;Total de hechos de robos;14;;;;;;;;;
1/1/2021;2021;Carlos Casares;Total de hechos de hurtos;29;;;;;;;;;
1/1/2021;2021;Carlos Casares;Total de hechos de robos;7;;;;;;;;;
1/1/2014;2014;Carlos Tejedor;Total de hechos de hurtos;60;;;;;;;;;
1/1/2014;2014;Carlos Tejedor;Total de hechos de robos;19;;;;;;;;;
